id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price_sqft,zscore,pricing
7922800400,20140827T000000,951000.0,5,3.25,3250,14342,2.0,0,4,4,8,3250,0,1968,0,98008,47.588,-122.116,2960,11044,292.61538461538464,-0.11207614100006931,1
4036801170,20141013T000000,380000.0,4,1.75,1760,7300,1.0,0,0,3,7,880,880,1956,0,98008,47.6034,-122.125,1680,7500,215.9090909090909,-1.0565518687819895,0
8857320070,20140917T000000,490000.0,3,2.75,1980,3128,2.0,0,0,4,9,1980,0,1979,0,98008,47.6109,-122.11399999999999,1950,2856,247.4747474747475,-0.6678875882222249,0
7375300160,20150309T000000,530000.0,5,2.25,2720,8800,1.0,0,0,4,7,1500,1220,1958,0,98008,47.5976,-122.118,2110,8800,194.85294117647058,-1.315813806520091,0
4040800810,20140502T000000,420000.0,3,2.25,2000,8030,1.0,0,0,4,8,1000,1000,1963,0,98008,47.6188,-122.11399999999999,2070,8250,210.0,-1.1293098221027773,0
686500030,20141202T000000,650000.0,6,2.75,3610,10003,1.5,0,0,4,8,3610,0,1966,0,98008,47.6261,-122.125,2560,10004,180.05540166204986,-1.4980142000859389,0
259600260,20150122T000000,345000.0,3,1.0,1250,7210,1.0,0,0,4,7,1250,0,1964,0,98008,47.6329,-122.12100000000001,1530,8800,276.0,-0.3166594511659773,1
7376300060,20140515T000000,465750.0,3,1.5,1260,10350,1.0,0,0,3,7,1260,0,1959,0,98008,47.6357,-122.12299999999999,1800,10350,369.64285714285717,0.8363542244813659,2
4037200075,20140911T000000,662500.0,6,2.25,2450,25600,1.0,0,2,3,7,1340,1110,1957,0,98008,47.6061,-122.117,1850,10230,270.40816326530614,-0.3855110905094165,1
686201000,20141230T000000,538200.0,4,3.0,1780,7260,1.0,0,0,4,8,1780,0,1964,0,98008,47.626999999999995,-122.11399999999999,1810,7920,302.35955056179773,0.007902647951784228,1
4037200295,20140819T000000,525000.0,3,1.75,1520,8835,1.0,0,0,4,7,1520,0,1957,0,98008,47.6054,-122.118,1760,8580,345.39473684210526,0.5377899221036964,2
4039100400,20150506T000000,515000.0,3,2.5,3000,8250,1.0,0,0,4,8,1760,1240,1963,0,98008,47.6191,-122.11200000000001,2040,8250,171.66666666666666,-1.6013037244145552,0
4037800140,20140814T000000,548000.0,4,2.0,2100,8880,1.0,0,0,4,7,2100,0,1958,0,98008,47.6115,-122.124,1280,9102,260.95238095238096,-0.5019390451169359,0
7431500341,20150424T000000,1355000.0,3,2.5,3600,21399,1.0,0,3,3,9,2310,1290,1950,2007,98008,47.6191,-122.09899999999999,2830,17559,376.3888888888889,0.9194173335838526,2
8016300030,20141103T000000,555000.0,5,2.5,2090,8712,1.0,0,0,3,8,1420,670,1966,0,98008,47.5968,-122.12700000000001,2490,8712,265.55023923444975,-0.44532614756484445,1
7922800320,20141016T000000,561750.0,5,1.75,2040,8996,1.0,0,2,4,7,1020,1020,1962,0,98008,47.588,-122.118,1950,8270,275.36764705882354,-0.32444553983582625,1
6918700320,20150306T000000,685000.0,5,2.5,1900,7843,2.0,0,0,5,7,1900,0,1966,0,98008,47.6273,-122.12299999999999,1900,7350,360.5263157894737,0.7241033045951878,2
9253900354,20140701T000000,580000.0,3,2.5,2200,11000,2.0,0,2,3,9,2200,0,1978,0,98008,47.5916,-122.11200000000001,2200,12851,263.6363636363636,-0.4688914765756259,1
627300105,20140729T000000,930000.0,4,3.0,2900,10400,1.0,0,3,5,8,1530,1370,1959,0,98008,47.5854,-122.11399999999999,2820,10400,320.6896551724138,0.23359910721129148,1
686200510,20141122T000000,643000.0,3,2.75,2030,7700,1.0,0,0,5,8,1400,630,1965,0,98008,47.626000000000005,-122.11200000000001,1780,8160,316.7487684729064,0.1850754248147073,1
1224059053,20141027T000000,1700000.0,5,2.0,2500,15250,2.0,1,4,5,8,2500,0,1942,0,98008,47.5883,-122.111,1880,18782,680.0,4.657745849719889,2
5728000060,20140801T000000,605000.0,3,1.75,1850,8823,1.0,0,0,4,8,1370,480,1973,0,98008,47.6379,-122.11200000000001,1880,7580,327.02702702702703,0.311630434308502,1
4193500140,20140911T000000,665000.0,3,1.75,1800,8000,1.0,0,0,3,8,1800,0,1972,0,98008,47.6357,-122.119,1950,8500,369.44444444444446,0.8339111918607043,2
8563001070,20150323T000000,550000.0,4,2.0,1660,12377,1.0,0,0,3,8,1660,0,1966,0,98008,47.6231,-122.102,1820,8968,331.32530120481925,0.364554587414122,1
